lncRNA,miRNA,gene,immune_cell,algo,r_lnc,p_lnc,r_miR,p_miR,r_gene,p_gene,cancer
AC100861.1,MIR425,HDGF,Myeloid.dendritic.cell,QUANTISEQ,-0.114627507,0.018081565,0.173835297,0.000317481,-0.147497877,0.002300012,BLCA
AC100861.1,MIR425,HDGF,Eosinophil,XCELL,-0.113823934,0.018911915,0.112071346,0.020838941,-0.326478845,5.17E-12,BLCA
AC100861.1,MIR425,HDGF,Macrophage,EPIC,-0.108659792,0.02508326,-0.140756471,0.003640835,0.208605618,1.45E-05,BLCA
AC100861.1,MIR425,MICA,Myeloid.dendritic.cell,QUANTISEQ,-0.114627507,0.018081565,0.173835297,0.000317481,-0.126011272,0.009308488,BLCA
AC100861.1,MIR425,MICA,Cancer.associated.fibroblast,MCPCOUNTER,-0.231917215,1.34E-06,-0.156488931,0.001209786,0.190717356,7.60E-05,BLCA
AC100861.1,MIR425,MICA,Eosinophil,XCELL,-0.113823934,0.018911915,0.112071346,0.020838941,-0.236434891,8.23E-07,BLCA
AC100861.1,MIR425,MICA,Monocyte,XCELL,-0.112398256,0.020467065,-0.129071185,0.007717477,0.114754192,0.017953605,BLCA
AC100861.1,MIR425,MICA,Cancer.associated.fibroblast,EPIC,-0.156893839,0.001174332,-0.119190023,0.01394415,0.143264917,0.00307572,BLCA
AC100861.1,MIR425,MICA,T.cell.CD8.,EPIC,-0.152407744,0.001626343,0.136334294,0.004870399,-0.150314049,0.00188773,BLCA
AC100861.1,MIR425,MICA,Macrophage,EPIC,-0.108659792,0.02508326,-0.140756471,0.003640835,0.159469134,0.000970321,BLCA
AC100861.1,MIR425,RAC1,Myeloid.dendritic.cell,QUANTISEQ,-0.114627507,0.018081565,0.173835297,0.000317481,-0.215817603,7.15E-06,BLCA
AC100861.1,MIR425,RAC1,Eosinophil,XCELL,-0.113823934,0.018911915,0.112071346,0.020838941,-0.102444525,0.034747778,BLCA
AC129507.1,MIR210,BTK,T.cell.CD8.,TIMER,0.205081054,2.04E-05,-0.255750431,8.99E-08,0.441639209,1.02E-21,BLCA
AC129507.1,MIR210,BTK,Neutrophil,TIMER,0.269877353,1.58E-08,-0.154708791,0.001377651,0.741318097,2.91E-75,BLCA
AC129507.1,MIR210,BTK,Macrophage,TIMER,0.350873277,9.31E-14,-0.240515528,5.23E-07,0.419075147,1.67E-19,BLCA
AC129507.1,MIR210,BTK,Myeloid.dendritic.cell,TIMER,0.330592365,2.69E-12,-0.196637679,4.47E-05,0.781531319,1.04E-88,BLCA
AC129507.1,MIR210,BTK,T.cell.CD8.,CIBERSORT.ABS,0.269332821,1.69E-08,-0.185806363,0.000116767,0.652423621,6.88E-53,BLCA
AC129507.1,MIR210,BTK,Monocyte,CIBERSORT.ABS,0.217291888,6.17E-06,-0.098436827,0.0425318,0.258078353,6.80E-08,BLCA
AC129507.1,MIR210,BTK,B.cell,QUANTISEQ,0.403714583,4.32E-18,-0.201277389,2.91E-05,0.493020288,2.06E-27,BLCA
AC129507.1,MIR210,BTK,T.cell.CD8.,QUANTISEQ,0.221199576,4.15E-06,-0.137928996,0.004389383,0.578664484,2.35E-39,BLCA
AC129507.1,MIR210,BTK,T.cell.regulatory..Tregs.,QUANTISEQ,0.359918206,1.92E-14,-0.192268345,6.63E-05,0.667697085,3.51E-56,BLCA
AC129507.1,MIR210,BTK,T.cell.CD8.,MCPCOUNTER,0.257603147,7.20E-08,-0.135293283,0.005209526,0.597584155,1.70E-42,BLCA
AC129507.1,MIR210,BTK,cytotoxicity.score,MCPCOUNTER,0.17419986,0.000308245,-0.152115976,0.00166066,0.690673743,1.61E-61,BLCA
AC129507.1,MIR210,BTK,NK.cell,MCPCOUNTER,0.19707751,4.29E-05,-0.14327401,0.003073826,0.633708086,4.18E-49,BLCA
AC129507.1,MIR210,BTK,B.cell,MCPCOUNTER,0.373537279,1.61E-15,-0.261572956,4.45E-08,0.594412624,5.92E-42,BLCA
AC129507.1,MIR210,BTK,Monocyte,MCPCOUNTER,0.269112649,1.74E-08,-0.165711319,0.000603787,0.700823654,4.84E-64,BLCA
AC129507.1,MIR210,BTK,Myeloid.dendritic.cell,MCPCOUNTER,0.413703584,5.30E-19,-0.233283976,1.16E-06,0.767620953,9.46E-84,BLCA
AC129507.1,MIR210,BTK,Endothelial.cell,MCPCOUNTER,0.353674301,5.74E-14,-0.218827964,5.28E-06,0.279800222,4.39E-09,BLCA
AC129507.1,MIR210,BTK,Cancer.associated.fibroblast,MCPCOUNTER,0.503068393,1.21E-28,-0.33672763,9.99E-13,0.678348314,1.35E-58,BLCA
AC129507.1,MIR210,BTK,B.cell,XCELL,0.171522567,0.000382356,-0.151834252,0.001694425,0.640094925,2.29E-50,BLCA
AC129507.1,MIR210,BTK,Myeloid.dendritic.cell,XCELL,0.32242465,9.75E-12,-0.327210243,4.61E-12,0.774643616,3.29E-86,BLCA
AC129507.1,MIR210,BTK,Endothelial.cell,XCELL,0.336384653,1.06E-12,-0.35902531,2.24E-14,0.294811734,5.72E-10,BLCA
AC129507.1,MIR210,BTK,Cancer.associated.fibroblast,XCELL,0.538636838,2.39E-33,-0.27646084,6.79E-09,0.484864314,1.92E-26,BLCA
AC129507.1,MIR210,BTK,Macrophage,XCELL,0.242372167,4.25E-07,-0.270230009,1.51E-08,0.754422458,2.34E-79,BLCA
AC129507.1,MIR210,BTK,Monocyte,XCELL,0.324404587,7.17E-12,-0.253816759,1.13E-07,0.753751423,3.85E-79,BLCA
AC129507.1,MIR210,BTK,immune.score,XCELL,0.325673838,5.87E-12,-0.284532274,2.34E-09,0.864620531,1.60E-128,BLCA
AC129507.1,MIR210,BTK,stroma.score,XCELL,0.550730737,4.46E-35,-0.382506573,2.95E-16,0.497498748,5.88E-28,BLCA
AC129507.1,MIR210,BTK,microenvironment.score,XCELL,0.484113512,2.35E-26,-0.381125194,3.85E-16,0.877933751,2.20E-137,BLCA
AC129507.1,MIR210,BTK,B.cell,EPIC,0.307841123,8.83E-11,-0.260851072,4.86E-08,0.511321224,1.09E-29,BLCA
AC129507.1,MIR210,BTK,Cancer.associated.fibroblast,EPIC,0.431452158,1.07E-20,-0.316783042,2.32E-11,0.586114802,1.44E-40,BLCA
AC129507.1,MIR210,BTK,T.cell.CD4.,EPIC,-0.215612313,7.30E-06,0.135300937,0.005206957,-0.288284066,1.41E-09,BLCA
AC129507.1,MIR210,BTK,Endothelial.cell,EPIC,0.352253298,7.34E-14,-0.259081254,6.02E-08,0.239513842,5.85E-07,BLCA
AC129507.1,MIR210,BTK,Macrophage,EPIC,0.347885796,1.55E-13,-0.338114929,7.96E-13,0.838702068,1.05E-113,BLCA
AC129507.1,MIR210,BTK,NK.cell,EPIC,0.160605971,0.000891122,-0.193431925,5.97E-05,0.505612543,5.80E-29,BLCA
AL365181.2,MIR145,VEGFA,T.cell.CD4.,TIMER,-0.119052195,0.014055754,0.309762243,6.65E-11,-0.260122755,5.31E-08,BLCA
AL365181.2,MIR145,VEGFA,T.cell.CD8.,TIMER,-0.22412768,3.07E-06,0.16014201,0.000922694,-0.147688494,0.002269704,BLCA
AL365181.2,MIR145,VEGFA,Neutrophil,TIMER,-0.227394133,2.18E-06,0.215477756,7.40E-06,-0.130271529,0.007162879,BLCA
AL365181.2,MIR145,VEGFA,Macrophage,TIMER,-0.146538987,0.002458154,0.234894227,9.74E-07,-0.200215922,3.22E-05,BLCA
AL365181.2,MIR145,VEGFA,Myeloid.dendritic.cell,TIMER,-0.286281486,1.85E-09,0.234302244,1.04E-06,-0.23897985,6.21E-07,BLCA
AL365181.2,MIR145,VEGFA,T.cell.CD8.,CIBERSORT.ABS,-0.151350866,0.001753828,0.15460916,0.001387651,-0.187773042,9.85E-05,BLCA
AL365181.2,MIR145,VEGFA,B.cell,QUANTISEQ,-0.104545592,0.03117569,0.3755594,1.10E-15,-0.286541885,1.78E-09,BLCA
AL365181.2,MIR145,VEGFA,T.cell.CD8.,QUANTISEQ,-0.143992353,0.002927449,0.097403146,0.044762706,-0.101461411,0.036535349,BLCA
AL365181.2,MIR145,VEGFA,T.cell.regulatory..Tregs.,QUANTISEQ,-0.262777164,3.84E-08,0.283454911,2.70E-09,-0.145682059,0.002607802,BLCA
AL365181.2,MIR145,VEGFA,T.cell.CD8.,MCPCOUNTER,-0.118554783,0.014465084,0.096906721,0.045868572,-0.112856468,0.01995554,BLCA
AL365181.2,MIR145,VEGFA,NK.cell,MCPCOUNTER,-0.149502437,0.001999005,0.142717828,0.003191693,-0.188932172,8.90E-05,BLCA
AL365181.2,MIR145,VEGFA,B.cell,MCPCOUNTER,-0.136408326,0.004847057,0.327472808,4.42E-12,-0.280966532,3.76E-09,BLCA
AL365181.2,MIR145,VEGFA,Monocyte,MCPCOUNTER,-0.209361737,1.35E-05,0.172545268,0.000352278,-0.185249566,0.000122501,BLCA
AL365181.2,MIR145,VEGFA,Myeloid.dendritic.cell,MCPCOUNTER,-0.242122771,4.37E-07,0.352771944,6.71E-14,-0.276942677,6.38E-09,BLCA
AL365181.2,MIR145,VEGFA,Cancer.associated.fibroblast,MCPCOUNTER,-0.265899224,2.61E-08,0.544255978,3.84E-34,-0.337642369,8.60E-13,BLCA
AL365181.2,MIR145,VEGFA,B.cell,XCELL,-0.20553717,1.95E-05,0.10621918,0.028559594,-0.25470235,1.02E-07,BLCA
AL365181.2,MIR145,VEGFA,Myeloid.dendritic.cell,XCELL,-0.274694421,8.54E-09,0.218369071,5.53E-06,-0.312411288,4.48E-11,BLCA
AL365181.2,MIR145,VEGFA,Endothelial.cell,XCELL,-0.207192662,1.67E-05,0.320992763,1.22E-11,-0.132303581,0.00630482,BLCA
AL365181.2,MIR145,VEGFA,Cancer.associated.fibroblast,XCELL,-0.170317292,0.000420869,0.553793129,1.58E-35,-0.299592009,2.91E-10,BLCA
AL365181.2,MIR145,VEGFA,Macrophage,XCELL,-0.274003136,9.34E-09,0.160856317,0.000874503,-0.325923854,5.65E-12,BLCA
AL365181.2,MIR145,VEGFA,Monocyte,XCELL,-0.282584218,3.03E-09,0.248284318,2.16E-07,-0.277254805,6.13E-09,BLCA
AL365181.2,MIR145,VEGFA,immune.score,XCELL,-0.306490932,1.08E-10,0.245248574,3.06E-07,-0.319972488,1.42E-11,BLCA
AL365181.2,MIR145,VEGFA,stroma.score,XCELL,-0.217572442,6.00E-06,0.564852404,3.44E-37,-0.303952378,1.56E-10,BLCA
AL365181.2,MIR145,VEGFA,microenvironment.score,XCELL,-0.341410491,4.61E-13,0.429701249,1.59E-20,-0.387607979,1.10E-16,BLCA
AL365181.2,MIR145,VEGFA,B.cell,EPIC,-0.15738079,0.001132961,0.335404497,1.24E-12,-0.282163168,3.21E-09,BLCA
AL365181.2,MIR145,VEGFA,Cancer.associated.fibroblast,EPIC,-0.256253469,8.46E-08,0.461840225,7.66E-24,-0.253863469,1.13E-07,BLCA
AL365181.2,MIR145,VEGFA,Macrophage,EPIC,-0.322664475,9.40E-12,0.244609388,3.30E-07,-0.322012631,1.04E-11,BLCA
AL365181.2,MIR145,VEGFA,NK.cell,EPIC,-0.24277308,4.06E-07,0.128972961,0.007764514,-0.252742024,1.28E-07,BLCA
AL390955.2,MIR141,HMGB1,T.cell.CD8.,TIMER,0.271618959,1.27E-08,-0.30076877,2.46E-10,0.170401023,0.000418081,BLCA
AL390955.2,MIR141,HMGB1,Macrophage,TIMER,0.23573335,8.88E-07,-0.239134389,6.10E-07,0.152929155,0.00156663,BLCA
AL390955.2,MIR141,HMGB1,T.cell.regulatory..Tregs.,CIBERSORT,-0.146411973,0.002479829,0.243197083,3.87E-07,-0.159811647,0.000945801,BLCA
AL390955.2,MIR141,HMGB1,Cancer.associated.fibroblast,XCELL,0.22461213,2.91E-06,-0.189270774,8.64E-05,-0.128135504,0.00817606,BLCA
AL390955.2,MIR141,HMGB1,Monocyte,XCELL,0.096973837,0.045717733,-0.184321902,0.000132645,-0.164853197,0.000645121,BLCA
AL390955.2,MIR141,HMGB1,stroma.score,XCELL,0.191521545,7.08E-05,-0.161410304,0.000838741,-0.239931156,5.59E-07,BLCA
AL390955.2,MIR141,HMGB1,microenvironment.score,XCELL,0.151528243,0.001731812,-0.171430958,0.000385164,-0.193919276,5.72E-05,BLCA
AL390955.2,MIR141,ICAM1,T.cell.CD8.,TIMER,0.271618959,1.27E-08,-0.30076877,2.46E-10,0.516379176,2.43E-30,BLCA
AL390955.2,MIR141,ICAM1,Neutrophil,TIMER,0.235657382,8.96E-07,-0.215082637,7.70E-06,0.816992387,3.48E-103,BLCA
AL390955.2,MIR141,ICAM1,Macrophage,TIMER,0.23573335,8.88E-07,-0.239134389,6.10E-07,0.311315094,5.28E-11,BLCA
AL390955.2,MIR141,ICAM1,Myeloid.dendritic.cell,TIMER,0.265376355,2.78E-08,-0.212301519,1.01E-05,0.788164324,3.34E-91,BLCA
AL390955.2,MIR141,ICAM1,T.cell.regulatory..Tregs.,CIBERSORT,-0.146411973,0.002479829,0.243197083,3.87E-07,-0.153470947,0.00150672,BLCA
AL390955.2,MIR141,ICAM1,T.cell.regulatory..Tregs.,QUANTISEQ,0.195594614,4.91E-05,-0.095490815,0.049149406,0.639267409,3.35E-50,BLCA
AL390955.2,MIR141,ICAM1,Monocyte,MCPCOUNTER,0.188230113,9.46E-05,-0.197350339,4.19E-05,0.676152475,4.33E-58,BLCA
AL390955.2,MIR141,ICAM1,Myeloid.dendritic.cell,MCPCOUNTER,0.162659063,0.00076303,-0.124977309,0.009908566,0.544359788,3.71E-34,BLCA
AL390955.2,MIR141,ICAM1,Cancer.associated.fibroblast,MCPCOUNTER,0.289104605,1.26E-09,-0.302622952,1.89E-10,0.556682247,5.90E-36,BLCA
AL390955.2,MIR141,ICAM1,Cancer.associated.fibroblast,XCELL,0.22461213,2.91E-06,-0.189270774,8.64E-05,0.340905106,5.02E-13,BLCA
AL390955.2,MIR141,ICAM1,Macrophage,XCELL,0.098332317,0.042753012,-0.205595628,1.94E-05,0.644723003,2.67E-51,BLCA
AL390955.2,MIR141,ICAM1,Monocyte,XCELL,0.096973837,0.045717733,-0.184321902,0.000132645,0.593549919,8.29E-42,BLCA
AL390955.2,MIR141,ICAM1,stroma.score,XCELL,0.191521545,7.08E-05,-0.161410304,0.000838741,0.284993468,2.20E-09,BLCA
AL390955.2,MIR141,ICAM1,microenvironment.score,XCELL,0.151528243,0.001731812,-0.171430958,0.000385164,0.605876725,6.15E-44,BLCA
AL390955.2,MIR141,ICAM1,Cancer.associated.fibroblast,EPIC,0.2266262,2.36E-06,-0.232113738,1.32E-06,0.506217817,4.87E-29,BLCA
AL390955.2,MIR141,ICAM1,Macrophage,EPIC,0.139173737,0.004044212,-0.200032995,3.27E-05,0.683734505,7.42E-60,BLCA
AL390955.2,MIR141,MICB,T.cell.CD8.,TIMER,0.271618959,1.27E-08,-0.30076877,2.46E-10,0.222033126,3.81E-06,BLCA
AL390955.2,MIR141,MICB,Neutrophil,TIMER,0.235657382,8.96E-07,-0.215082637,7.70E-06,0.449350956,1.64E-22,BLCA
AL390955.2,MIR141,MICB,Macrophage,TIMER,0.23573335,8.88E-07,-0.239134389,6.10E-07,0.26039489,5.13E-08,BLCA
AL390955.2,MIR141,MICB,Myeloid.dendritic.cell,TIMER,0.265376355,2.78E-08,-0.212301519,1.01E-05,0.431334198,1.10E-20,BLCA
AL390955.2,MIR141,MICB,T.cell.regulatory..Tregs.,QUANTISEQ,0.195594614,4.91E-05,-0.095490815,0.049149406,0.336348132,1.06E-12,BLCA
AL390955.2,MIR141,MICB,Monocyte,MCPCOUNTER,0.188230113,9.46E-05,-0.197350339,4.19E-05,0.426414625,3.32E-20,BLCA
AL390955.2,MIR141,MICB,Myeloid.dendritic.cell,MCPCOUNTER,0.162659063,0.00076303,-0.124977309,0.009908566,0.230026418,1.65E-06,BLCA
AL390955.2,MIR141,MICB,Cancer.associated.fibroblast,MCPCOUNTER,0.289104605,1.26E-09,-0.302622952,1.89E-10,0.138679402,0.004178241,BLCA
AL390955.2,MIR141,MICB,Macrophage,XCELL,0.098332317,0.042753012,-0.205595628,1.94E-05,0.349349435,1.21E-13,BLCA
AL390955.2,MIR141,MICB,Monocyte,XCELL,0.096973837,0.045717733,-0.184321902,0.000132645,0.211299924,1.12E-05,BLCA
AL390955.2,MIR141,MICB,stroma.score,XCELL,0.191521545,7.08E-05,-0.161410304,0.000838741,-0.105473381,0.029701168,BLCA
AL390955.2,MIR141,MICB,microenvironment.score,XCELL,0.151528243,0.001731812,-0.171430958,0.000385164,0.16403339,0.000687046,BLCA
AL390955.2,MIR141,MICB,Cancer.associated.fibroblast,EPIC,0.2266262,2.36E-06,-0.232113738,1.32E-06,0.191556487,7.06E-05,BLCA
AL390955.2,MIR141,MICB,Macrophage,EPIC,0.139173737,0.004044212,-0.200032995,3.27E-05,0.388824624,8.65E-17,BLCA
AL390955.2,MIR141,PSMC2,T.cell.CD8.,TIMER,0.271618959,1.27E-08,-0.30076877,2.46E-10,0.245621991,2.94E-07,BLCA
AL390955.2,MIR141,PSMC2,Neutrophil,TIMER,0.235657382,8.96E-07,-0.215082637,7.70E-06,0.289566053,1.18E-09,BLCA
AL390955.2,MIR141,PSMC2,Macrophage,TIMER,0.23573335,8.88E-07,-0.239134389,6.10E-07,0.268452871,1.89E-08,BLCA
AL390955.2,MIR141,PSMC2,Myeloid.dendritic.cell,TIMER,0.265376355,2.78E-08,-0.212301519,1.01E-05,0.34019415,5.65E-13,BLCA
AL390955.2,MIR141,PSMC2,T.cell.regulatory..Tregs.,CIBERSORT,-0.146411973,0.002479829,0.243197083,3.87E-07,-0.173443625,0.000327691,BLCA
AL390955.2,MIR141,PSMC2,Monocyte,MCPCOUNTER,0.188230113,9.46E-05,-0.197350339,4.19E-05,0.274447015,8.82E-09,BLCA
AL390955.2,MIR141,PSMC2,Macrophage,XCELL,0.098332317,0.042753012,-0.205595628,1.94E-05,0.25089903,1.59E-07,BLCA
AL390955.2,MIR141,PSMC2,stroma.score,XCELL,0.191521545,7.08E-05,-0.161410304,0.000838741,-0.209119917,1.38E-05,BLCA
AL390955.2,MIR141,PSMC2,Macrophage,EPIC,0.139173737,0.004044212,-0.200032995,3.27E-05,0.216097763,6.95E-06,BLCA
AL390955.2,MIR141,SHC1,T.cell.CD8.,TIMER,0.271618959,1.27E-08,-0.30076877,2.46E-10,0.380785564,4.10E-16,BLCA
AL390955.2,MIR141,SHC1,Neutrophil,TIMER,0.235657382,8.96E-07,-0.215082637,7.70E-06,0.393602726,3.36E-17,BLCA
AL390955.2,MIR141,SHC1,Macrophage,TIMER,0.23573335,8.88E-07,-0.239134389,6.10E-07,0.288030573,1.46E-09,BLCA
AL390955.2,MIR141,SHC1,Myeloid.dendritic.cell,TIMER,0.265376355,2.78E-08,-0.212301519,1.01E-05,0.374183614,1.43E-15,BLCA
AL390955.2,MIR141,SHC1,T.cell.regulatory..Tregs.,CIBERSORT,-0.146411973,0.002479829,0.243197083,3.87E-07,-0.209140183,1.38E-05,BLCA
AL390955.2,MIR141,SHC1,T.cell.regulatory..Tregs.,QUANTISEQ,0.195594614,4.91E-05,-0.095490815,0.049149406,0.146837856,0.002407832,BLCA
AL390955.2,MIR141,SHC1,Monocyte,MCPCOUNTER,0.188230113,9.46E-05,-0.197350339,4.19E-05,0.354436073,5.03E-14,BLCA
AL390955.2,MIR141,SHC1,Myeloid.dendritic.cell,MCPCOUNTER,0.162659063,0.00076303,-0.124977309,0.009908566,0.160106923,0.000925123,BLCA
AL390955.2,MIR141,SHC1,Cancer.associated.fibroblast,MCPCOUNTER,0.289104605,1.26E-09,-0.302622952,1.89E-10,0.200164918,3.23E-05,BLCA
AL390955.2,MIR141,SHC1,Macrophage,XCELL,0.098332317,0.042753012,-0.205595628,1.94E-05,0.157450739,0.00112713,BLCA
AL390955.2,MIR141,SHC1,Monocyte,XCELL,0.096973837,0.045717733,-0.184321902,0.000132645,0.175325956,0.000281274,BLCA
AL390955.2,MIR141,SHC1,Cancer.associated.fibroblast,EPIC,0.2266262,2.36E-06,-0.232113738,1.32E-06,0.193943349,5.70E-05,BLCA
AL390955.2,MIR141,SHC1,Macrophage,EPIC,0.139173737,0.004044212,-0.200032995,3.27E-05,0.172628691,0.000349924,BLCA
AL390955.2,MIR141,TNFAIP3,T.cell.CD8.,TIMER,0.271618959,1.27E-08,-0.30076877,2.46E-10,0.491739051,2.93E-27,BLCA
AL390955.2,MIR141,TNFAIP3,Neutrophil,TIMER,0.235657382,8.96E-07,-0.215082637,7.70E-06,0.746688499,6.55E-77,BLCA
AL390955.2,MIR141,TNFAIP3,Macrophage,TIMER,0.23573335,8.88E-07,-0.239134389,6.10E-07,0.176398789,0.000257642,BLCA
AL390955.2,MIR141,TNFAIP3,Myeloid.dendritic.cell,TIMER,0.265376355,2.78E-08,-0.212301519,1.01E-05,0.660017664,1.68E-54,BLCA
AL390955.2,MIR141,TNFAIP3,T.cell.regulatory..Tregs.,CIBERSORT,-0.146411973,0.002479829,0.243197083,3.87E-07,-0.131855846,0.006485538,BLCA
AL390955.2,MIR141,TNFAIP3,T.cell.regulatory..Tregs.,QUANTISEQ,0.195594614,4.91E-05,-0.095490815,0.049149406,0.554253534,1.35E-35,BLCA
AL390955.2,MIR141,TNFAIP3,Monocyte,MCPCOUNTER,0.188230113,9.46E-05,-0.197350339,4.19E-05,0.496712104,7.33E-28,BLCA
AL390955.2,MIR141,TNFAIP3,Myeloid.dendritic.cell,MCPCOUNTER,0.162659063,0.00076303,-0.124977309,0.009908566,0.464099201,4.34E-24,BLCA
AL390955.2,MIR141,TNFAIP3,Cancer.associated.fibroblast,MCPCOUNTER,0.289104605,1.26E-09,-0.302622952,1.89E-10,0.400540714,8.29E-18,BLCA
AL390955.2,MIR141,TNFAIP3,Cancer.associated.fibroblast,XCELL,0.22461213,2.91E-06,-0.189270774,8.64E-05,0.259444373,5.76E-08,BLCA
AL390955.2,MIR141,TNFAIP3,Macrophage,XCELL,0.098332317,0.042753012,-0.205595628,1.94E-05,0.364255727,8.82E-15,BLCA
AL390955.2,MIR141,TNFAIP3,Monocyte,XCELL,0.096973837,0.045717733,-0.184321902,0.000132645,0.495382873,1.06E-27,BLCA
AL390955.2,MIR141,TNFAIP3,stroma.score,XCELL,0.191521545,7.08E-05,-0.161410304,0.000838741,0.200586125,3.11E-05,BLCA
AL390955.2,MIR141,TNFAIP3,microenvironment.score,XCELL,0.151528243,0.001731812,-0.171430958,0.000385164,0.467353801,1.90E-24,BLCA
AL390955.2,MIR141,TNFAIP3,Cancer.associated.fibroblast,EPIC,0.2266262,2.36E-06,-0.232113738,1.32E-06,0.368521674,4.06E-15,BLCA
AL390955.2,MIR141,TNFAIP3,Macrophage,EPIC,0.139173737,0.004044212,-0.200032995,3.27E-05,0.492975098,2.08E-27,BLCA
INHBA-AS1,MIR141,HDGF,T.cell.CD8.,TIMER,0.375264969,1.17E-15,-0.30076877,2.46E-10,0.222961205,3.46E-06,BLCA
INHBA-AS1,MIR141,HDGF,Neutrophil,TIMER,0.453284911,6.34E-23,-0.215082637,7.70E-06,0.25790999,6.94E-08,BLCA
INHBA-AS1,MIR141,HDGF,Macrophage,TIMER,0.225989964,2.52E-06,-0.239134389,6.10E-07,0.177025929,0.000244701,BLCA
INHBA-AS1,MIR141,HDGF,Myeloid.dendritic.cell,TIMER,0.492630466,2.29E-27,-0.212301519,1.01E-05,0.275713683,7.49E-09,BLCA
INHBA-AS1,MIR141,HDGF,T.cell.regulatory..Tregs.,CIBERSORT,-0.150101868,0.00191626,0.243197083,3.87E-07,-0.122007765,0.011827238,BLCA
INHBA-AS1,MIR141,HDGF,Neutrophil,CIBERSORT,0.243155485,3.89E-07,-0.123206541,0.01101635,0.105930032,0.028997634,BLCA
INHBA-AS1,MIR141,HDGF,Neutrophil,CIBERSORT.ABS,0.283013527,2.87E-09,-0.129619575,0.007459514,0.114614441,0.018094808,BLCA
INHBA-AS1,MIR141,HDGF,T.cell.CD8.,QUANTISEQ,0.239704122,5.73E-07,-0.101630957,0.03622161,0.182367084,0.000156659,BLCA
INHBA-AS1,MIR141,HDGF,T.cell.regulatory..Tregs.,QUANTISEQ,0.401311037,7.08E-18,-0.095490815,0.049149406,0.10306592,0.03365674,BLCA
INHBA-AS1,MIR141,HDGF,cytotoxicity.score,MCPCOUNTER,0.323286889,8.53E-12,-0.112697873,0.020131315,0.285017742,2.19E-09,BLCA
INHBA-AS1,MIR141,HDGF,NK.cell,MCPCOUNTER,0.319836142,1.45E-11,-0.127410952,0.008547701,0.258179957,6.71E-08,BLCA
INHBA-AS1,MIR141,HDGF,Monocyte,MCPCOUNTER,0.391655705,4.95E-17,-0.197350339,4.19E-05,0.260923543,4.81E-08,BLCA
