"","cancer","ceRNA","drug","train_database","method_DE","log2FC","DE_pvalue","method_scc","scc_r","scc_pvalue","fdr"
"14","BLCA","LINC00460-MIR149-HSPA8","Camptothecin_1003","GDSC2","Wilcoxon rank-sum test",0.765018985531692,4.53948355380315e-07,"spearman",-0.337928302099596,3.12372011211932e-09,6.80825695134472e-08
"15","BLCA","LINC00460-MIR149-HSPA8","Eg5_9814_1712","GDSC2","Wilcoxon rank-sum test",0.4723344902697,2.98351998370217e-06,"spearman",-0.310709860015723,5.9130120750627e-08,7.87169732492722e-07
"16","BLCA","LINC00460-MIR149-IFI30","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.431641128539,2.30541464489572e-06,"spearman",-0.408616916007988,3.53086790174509e-13,3.7321008242656e-11
"17","BLCA","LINC00460-MIR149-MICB","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.339063585823035,0.000143042356057002,"spearman",-0.302870779035182,1.30790415507174e-07,1.49605505386481e-06
"18","BLCA","LINC00460-MIR149-PLXND1","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.506481515538797,4.28513553480517e-08,"spearman",-0.431092097151778,1.20890425018516e-14,2.85102609785521e-12
"19","BLCA","LINC00460-MIR149-PLXND1","AZD8055_1059","GDSC2","Wilcoxon rank-sum test",1.82502856326691,4.90730031801804e-11,"spearman",-0.49643544494641,1.41733974113674e-19,5.16522819276341e-16
"20","BLCA","LINC00460-MIR149-PSMD1","Camptothecin_1003","GDSC2","Wilcoxon rank-sum test",0.733448924866944,6.60127245088043e-07,"spearman",-0.306148309204124,9.41140530042592e-08,1.16159381662324e-06
"21","BLCA","LINC00460-MIR149-PSMD1","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.574093024064721,2.49989067145738e-10,"spearman",-0.428442117612242,1.82350909841579e-14,4.00545170398894e-12
"22","BLCA","LINC00460-MIR149-S1PR2","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.565773311860062,6.35168262416538e-10,"spearman",-0.4261261569561,2.6040459039293e-14,5.30546048078813e-12
"23","BLCA","LINC00460-MIR149-S1PR2","AZD8055_1059","GDSC2","Wilcoxon rank-sum test",1.77245971691357,2.88543513388974e-10,"spearman",-0.464891145029264,4.60960943612999e-17,3.08580425967216e-14
"24","BLCA","LINC00943-MIR149-HLA-A","CDK9_5038_1709","GDSC2","Wilcoxon rank-sum test",1.6021952717444,2.16981439677871e-08,"spearman",-0.362630757789075,1.67156949847927e-10,6.14024715998923e-09
"25","BLCA","LINC00943-MIR149-HLA-A","Sepantronium.bromide_1941","GDSC2","Wilcoxon rank-sum test",1.36879791481759,1.20460345290916e-08,"spearman",-0.342100405208767,1.93912009779892e-09,4.59698993842448e-08
"26","BLCA","LINC00943-MIR149-HLA-C","Vinblastine_1004","GDSC2","Wilcoxon rank-sum test",0.334848551891765,1.47526669734531e-05,"spearman",-0.311091595882458,5.68540680538878e-08,7.62647412883162e-07
"27","BLCA","LINC00943-MIR149-HLA-C","Docetaxel_1007","GDSC2","Wilcoxon rank-sum test",0.390982389200894,6.41498756594869e-07,"spearman",-0.302986938560287,1.29282747124957e-07,1.48264212372942e-06
"28","BLCA","LINC00943-MIR149-HLA-C","Paclitaxel_1080","GDSC2","Wilcoxon rank-sum test",0.867664039679133,1.23850625742989e-06,"spearman",-0.323072896608865,1.61192890777749e-08,2.69127037832968e-07
"29","BLCA","LINC00943-MIR149-HLA-C","CDK9_5038_1709","GDSC2","Wilcoxon rank-sum test",1.48633880084329,4.31882697524177e-08,"spearman",-0.369692871323684,6.90277076155949e-11,2.93169641589134e-09
"30","BLCA","LINC00943-MIR149-HLA-C","Vincristine_1818","GDSC2","Wilcoxon rank-sum test",1.97861542738274,7.93968598691956e-06,"spearman",-0.317700639070184,2.8561341896333e-08,4.33134136330797e-07
"31","BLCA","LINC00943-MIR149-HSPA8","Camptothecin_1003","GDSC2","Wilcoxon rank-sum test",0.800619273309735,1.08224565140244e-07,"spearman",-0.333693058335699,5.03207500460113e-09,1.02079235807623e-07
"32","BLCA","LINC00943-MIR149-HSPA8","Eg5_9814_1712","GDSC2","Wilcoxon rank-sum test",0.495069911724604,8.35021747771751e-07,"spearman",-0.307395698627245,8.2946565730133e-08,1.04112751878054e-06
"33","BLCA","LINC00943-MIR149-PLXND1","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.484240036007645,2.27769078832944e-07,"spearman",-0.390340347408558,4.58407866563889e-12,3.08339607088763e-10
"34","BLCA","LINC00943-MIR149-PLXND1","AZD8055_1059","GDSC2","Wilcoxon rank-sum test",2.03546856766467,1.50406217185487e-12,"spearman",-0.496247468951427,1.46969076476409e-19,5.16522819276341e-16
"35","BLCA","LINC00943-MIR149-PSMD1","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.475473910589657,1.06589747364863e-07,"spearman",-0.361515433552173,1.91837352769127e-10,6.82746710184404e-09
"36","BLCA","LINC00943-MIR149-S1PR2","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.496440992397533,6.78032548730654e-08,"spearman",-0.366040835133967,1.09350896927295e-10,4.3302955183209e-09
"37","BLCA","LINC00943-MIR149-S1PR2","AZD8055_1059","GDSC2","Wilcoxon rank-sum test",1.91233081145049,4.18753493599053e-11,"spearman",-0.462272012832495,7.2581351254068e-17,3.77906902196181e-14
"38","BLCA","MSC-AS1-MIR200C-EDNRA","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.51896773455724,6.40573179075685e-09,"spearman",-0.369368010245174,7.19280381863236e-11,3.0274382060579e-09
"39","BLCA","MSC-AS1-MIR200C-EDNRA","AZD8055_1059","GDSC2","Wilcoxon rank-sum test",1.24190817078745,1.75234834191354e-06,"spearman",-0.366208085570529,1.07084621156352e-10,4.2525299554124e-09
"40","BLCA","NR2F1-AS1-MIR25-ENG","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.395127418257856,7.29630210911877e-05,"spearman",-0.355346928978331,4.06971998879708e-10,1.26296078592736e-08
"41","BLCA","NR2F1-AS1-MIR25-ENG","AZD8055_1059","GDSC2","Wilcoxon rank-sum test",1.5739567228511,3.12787731616133e-08,"spearman",-0.437335310133882,4.5247980507e-15,1.27219221993481e-12
"42","BLCA","NR2F1-AS1-MIR25-HSPA8","Camptothecin_1003","GDSC2","Wilcoxon rank-sum test",0.777144741019299,3.92535089491768e-07,"spearman",-0.310372949193945,6.12116659088358e-08,8.10276458894928e-07
"43","BLCA","NR2F1-AS1-MIR25-HSPA8","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.409781152409572,6.11860033816405e-06,"spearman",-0.310037002351628,6.33574886678741e-08,8.32410818404648e-07
"44","BLCA","NR2F1-AS1-MIR25-OSMR","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.518334858795889,2.11838373413137e-08,"spearman",-0.399572378710899,1.28052842514542e-12,1.02866677718253e-10
"45","BLCA","SENCR-MIR210-BTK","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.455147863875491,5.84390531640673e-07,"spearman",-0.340968211331289,2.20851798100784e-09,5.10788267439425e-08
"46","BLCA","SENCR-MIR210-BTK","AZD8055_1059","GDSC2","Wilcoxon rank-sum test",2.07113894110843,2.84041398584432e-12,"spearman",-0.46387414669743,5.50074750314494e-17,3.35565683928703e-14
"47","BLCA","TBX5-AS1-MIR25-ENG","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.395127418257856,7.29630210911877e-05,"spearman",-0.354100503534672,4.72842336814114e-10,1.41430161083677e-08
"48","BLCA","TBX5-AS1-MIR25-ENG","AZD8055_1059","GDSC2","Wilcoxon rank-sum test",1.5739567228511,3.12787731616133e-08,"spearman",-0.43753919178998,4.38039330024878e-15,1.25672589826321e-12
"49","BLCA","TBX5-AS1-MIR25-OSMR","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",0.523603141228523,1.41675941994537e-08,"spearman",-0.39808736835053,1.57632237752488e-12,1.2175791199585e-10
"50","BRCA","AC068338.3-MIR193B-MAP2K2","Dactinomycin_1811","GDSC2","Wilcoxon rank-sum test",0.666242810054238,5.82467664382814e-05,"spearman",-0.312526333488878,3.48223573039003e-09,6.7366616466424e-08
"51","BRCA","AC124068.2-MIR766-SDC4","MG.132_1862","GDSC2","Wilcoxon rank-sum test",1.0505364560018,3.53799381185839e-05,"spearman",-0.315035149067234,2.56822566748587e-09,5.13983726202183e-08
"52","CESC","AC092756.1-MIR106B-B2M","Camptothecin_1003","GDSC2","Wilcoxon rank-sum test",1.05927751104165,2.18740876845494e-07,"spearman",-0.425060996009759,3.60868825134793e-12,6.89881643636998e-10
"53","CESC","AC092756.1-MIR106B-B2M","Gemcitabine_1190","GDSC2","Wilcoxon rank-sum test",4.71009946596789,5.82425036333964e-07,"spearman",-0.381675901068144,6.44570588818306e-10,4.95858874499991e-08
"54","CESC","LINC00511-MIR589-RNASEL","Luminespib_1559","GDSC2","Wilcoxon rank-sum test",0.5266647385001,0.000169837235150611,"spearman",-0.300155040024806,1.71046779422844e-06,3.21451981396694e-05
"55","COAD","NORAD-MIR324-PSME3","alvocidib","CTRP2","Wilcoxon rank-sum test",0.253717732283386,3.92063490988592e-09,"spearman",-0.366307741738687,1.01536793837345e-14,3.73579382733178e-13
"56","COAD","AC005523.1-MIR425-PSMD8","Docetaxel_1007","GDSC2","Wilcoxon rank-sum test",1.01739940060089,9.75178926393501e-10,"spearman",-0.346190540230912,3.26214661217998e-13,6.34626128817952e-12
"57","COAD","AC005523.1-MIR425-PSMD8","Bortezomib_1191","GDSC2","Wilcoxon rank-sum test",0.731070033557471,5.16651646883507e-11,"spearman",-0.391928226954014,8.47789686366807e-17,3.90937720938548e-15
"58","COAD","AC005523.1-MIR425-PSMD8","CDK9_5038_1709","GDSC2","Wilcoxon rank-sum test",2.73550996698206,2.79745936412392e-14,"spearman",-0.432947193763186,1.5880776991692e-20,1.7668897500903e-18
"59","COAD","AC016065.1-MIR320B2-TRPC4AP","Vinblastine_1004","GDSC2","Wilcoxon rank-sum test",1.01224097201991,1.49775673145856e-23,"spearman",-0.549707867055296,2.23062332752024e-34,1.43370740580216e-30
"60","COAD","AC016065.1-MIR320B2-TRPC4AP","Docetaxel_1007","GDSC2","Wilcoxon rank-sum test",1.0429983862129,1.19682963778027e-07,"spearman",-0.303682463126118,2.28923072383708e-10,2.23822797052341e-09
"61","COAD","AC016065.1-MIR320B2-TRPC4AP","CDK9_5038_1709","GDSC2","Wilcoxon rank-sum test",2.03942239744573,1.23998319023854e-07,"spearman",-0.305490328135797,1.76837321845637e-10,1.77295647517808e-09
"62","COAD","AC016065.1-MIR320B2-TRPC4AP","Vincristine_1818","GDSC2","Wilcoxon rank-sum test",5.08751192682951,2.40786215382856e-15,"spearman",-0.434213011452413,1.19542594616029e-20,1.37962721488079e-18
"63","COAD","AC016065.1-MIR320B2-TRPC4AP","MG.132_1862","GDSC2","Wilcoxon rank-sum test",0.515204065217929,7.75611489512458e-12,"spearman",-0.349545022829985,1.86046032980759e-13,3.8260552133252e-12
"64","COAD","AC016065.1-MIR320B2-TRPC4AP","Vinorelbine_2048","GDSC2","Wilcoxon rank-sum test",0.796803754241443,1.70315301208821e-08,"spearman",-0.317240875625772,3.16163073113883e-11,3.78363244587563e-10
"65","COAD","AC016065.1-MIR320C1-RHOA","Docetaxel_1007","GDSC2","Wilcoxon rank-sum test",0.994646208884988,7.88459293053234e-09,"spearman",-0.334977768090994,2.03129181760861e-12,3.2452508434437e-11
"66","COAD","AC016065.1-MIR320C1-RHOA","Paclitaxel_1080","GDSC2","Wilcoxon rank-sum test",1.90316806095591,5.56912915139071e-09,"spearman",-0.325344310544644,9.22323787768533e-12,1.25595968726838e-10
"67","COAD","AC016065.1-MIR320C1-RHOA","CDK9_5038_1709","GDSC2","Wilcoxon rank-sum test",1.28896935418476,1.80207709420124e-07,"spearman",-0.344285241434925,4.47436900543768e-13,8.43167290524021e-12
"68","COAD","AC016065.1-MIR320C2-RHOA","Docetaxel_1007","GDSC2","Wilcoxon rank-sum test",1.15748692935398,4.5919575235345e-10,"spearman",-0.337565103391131,1.34069804490735e-12,2.23733504773873e-11
"69","COAD","AC016065.1-MIR320C2-RHOA","Paclitaxel_1080","GDSC2","Wilcoxon rank-sum test",2.12299911635613,1.24332920847732e-09,"spearman",-0.317195034097307,3.18340835806224e-11,3.80696820904893e-10
"70","COAD","AC016065.1-MIR320C2-RHOA","CDK9_5038_1709","GDSC2","Wilcoxon rank-sum test",1.37602702957721,5.40938381019832e-08,"spearman",-0.334471868212342,2.20220023493935e-12,3.48036774788334e-11
"71","COAD","AC019069.1-MIR3619-FGFR4","Vinblastine_1004","GDSC2","Wilcoxon rank-sum test",0.53072955426177,2.89104134346809e-07,"spearman",-0.32433152494802,1.0780301389096e-11,1.44514497491947e-10
"72","COAD","AC020910.5-MIR30E-PSMD7","Docetaxel_1007","GDSC2","Wilcoxon rank-sum test",0.918897079462103,1.73358226304241e-06,"spearman",-0.329303605567659,4.98434605905397e-12,7.25434626912234e-11
"73","COAD","AC020910.5-MIR30E-PSMD7","Bortezomib_1191","GDSC2","Wilcoxon rank-sum test",0.605865407005012,1.31333710470767e-07,"spearman",-0.339486997149035,9.82205015581327e-13,1.70161978606497e-11
"74","COAD","AC020910.5-MIR30E-PSMD7","CDK9_5038_1709","GDSC2","Wilcoxon rank-sum test",1.97333438294804,1.97046232403131e-10,"spearman",-0.381980286664001,5.71579775047563e-16,2.13209462874438e-14
"75","COAD","AC020910.5-MIR30E-RELA","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",2.10914130219935,1.62808438320255e-08,"spearman",-0.327879217887907,6.22600176119338e-12,8.8412611005825e-11
"76","COAD","AC023043.1-MIR193B-AKT1","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",2.37289244298932,7.08689973339122e-10,"spearman",-0.344966877112668,3.99709612871959e-13,7.60777594832105e-12
"77","COAD","AC023043.1-MIR193B-AKT1","Rapamycin_1084","GDSC2","Wilcoxon rank-sum test",0.783742074013209,4.52762375147924e-08,"spearman",-0.302360227477109,2.76185865094088e-10,2.64887352431148e-09
"78","COAD","AC023043.1-MIR193B-CDK4","Bortezomib_1191","GDSC2","Wilcoxon rank-sum test",0.546693931225627,1.62521535700414e-06,"spearman",-0.309909681508998,9.33789984672612e-11,1.00107462098159e-09
"79","COAD","AC023043.1-MIR491-AEN","Dactinomycin_1811","GDSC2","Wilcoxon rank-sum test",1.31159830353426,1.60974129046914e-10,"spearman",-0.332445995595138,3.03884711463307e-12,4.64533314142482e-11
"80","COAD","AC023043.1-MIR491-B2M","Docetaxel_1007","GDSC2","Wilcoxon rank-sum test",1.1069259756115,2.0738705344413e-08,"spearman",-0.307834982656211,1.26188162157127e-10,1.31141518373146e-09
"81","COAD","AC023043.1-MIR491-B2M","Paclitaxel_1080","GDSC2","Wilcoxon rank-sum test",2.26410207748257,3.53561185324935e-08,"spearman",-0.313264328414625,5.70993536908845e-11,6.44554660496561e-10
"82","COAD","AC023043.1-MIR491-HLA-C","Rapamycin_1084","GDSC2","Wilcoxon rank-sum test",0.808892896880143,2.2341312930435e-08,"spearman",-0.318155816447722,2.75615367551588e-11,3.341456420653e-10
"83","COAD","AC026401.3-MIR425-PSMD8","Docetaxel_1007","GDSC2","Wilcoxon rank-sum test",1.06377950384489,9.2688127000877e-10,"spearman",-0.352921193894138,1.05004350546965e-13,2.2960474672365e-12
"84","COAD","AC026401.3-MIR425-PSMD8","Bortezomib_1191","GDSC2","Wilcoxon rank-sum test",0.720525072783597,7.87871476125404e-11,"spearman",-0.39148591371162,9.24142996249066e-17,4.20872789511854e-15
"85","COAD","AC026401.3-MIR425-PSMD8","CDK9_5038_1709","GDSC2","Wilcoxon rank-sum test",2.81208282631414,4.1196652414067e-14,"spearman",-0.427263830072848,5.602048923568e-20,5.52638488615877e-18
"86","COAD","AC026401.3-MIR425-PSME3","Vincristine_1818","GDSC2","Wilcoxon rank-sum test",2.36774567675658,2.37438654366536e-08,"spearman",-0.318486483608901,2.6224715487058e-11,3.19468191753407e-10
"87","COAD","AC040169.1-MIR1276-PSMD3","Docetaxel_1007","GDSC2","Wilcoxon rank-sum test",1.31050618009982,1.6290125013488e-10,"spearman",-0.349110103382505,2.00172851386187e-13,4.0834088794981e-12
"88","COAD","AC040169.1-MIR1276-PSMD3","Bortezomib_1191","GDSC2","Wilcoxon rank-sum test",0.564328076723454,3.01802792055041e-07,"spearman",-0.316168446750177,3.7112582477733e-11,4.38115137257623e-10
"89","COAD","AC040169.1-MIR1276-PSMD3","CDK9_5038_1709","GDSC2","Wilcoxon rank-sum test",3.11288071961704,6.48762573820168e-11,"spearman",-0.374854640045828,2.15571883386706e-15,6.99236191314424e-14
"90","COAD","AC040169.1-MIR1276-PSME3","CDK9_5038_1709","GDSC2","Wilcoxon rank-sum test",1.74263318697292,1.26361989676813e-06,"spearman",-0.301643911715131,3.05624891948787e-10,2.90719415661121e-09
"91","COAD","AC040169.1-MIR1276-PSME3","Vincristine_1818","GDSC2","Wilcoxon rank-sum test",1.99964416416806,1.21804491131546e-06,"spearman",-0.30303263070648,2.51073656684559e-10,2.43028609545808e-09
"92","COAD","AC040169.1-MIR30B-ADRM1","Vinblastine_1004","GDSC2","Wilcoxon rank-sum test",0.739185861377273,3.98477814073946e-12,"spearman",-0.3969972484403,3.12640835737351e-17,1.59773808384526e-15
"93","COAD","AC040169.1-MIR30B-ADRM1","MG.132_1862","GDSC2","Wilcoxon rank-sum test",0.295730613965109,4.63347447734484e-08,"spearman",-0.335411866005705,1.89502976936048e-12,3.04971316272504e-11
"94","COAD","AC040169.1-MIR30B-PSME3","CDK9_5038_1709","GDSC2","Wilcoxon rank-sum test",1.74263318697292,1.26361989676813e-06,"spearman",-0.300252563818925,3.71778796700991e-10,3.47281711986004e-09
"95","COAD","AC040169.1-MIR30B-PSME3","Vincristine_1818","GDSC2","Wilcoxon rank-sum test",1.99964416416806,1.21804491131546e-06,"spearman",-0.303282212361456,2.42330014361334e-10,2.35777822543543e-09
"96","COAD","AC092171.3-MIR3173-IFNLR1","AZD8055_1059","GDSC2","Wilcoxon rank-sum test",2.18023658552279,1.04292816259404e-07,"spearman",-0.3110072492873,7.95525674450604e-11,8.68447129009598e-10
"97","COAD","AC092171.3-MIR744-CDK4","Bortezomib_1191","GDSC2","Wilcoxon rank-sum test",0.559837410715172,9.06225140262443e-07,"spearman",-0.31352245401039,5.49645304369157e-11,6.22981050622209e-10
"98","COAD","AC092171.3-MIR744-PSMD4","Rapamycin_1084","GDSC2","Wilcoxon rank-sum test",0.782103034357561,1.84947364878945e-07,"spearman",-0.319663178392678,2.1961246267836e-11,2.73186525704229e-10
"99","COAD","AC092171.3-MIR744-PSMD4","Daporinad_1248","GDSC2","Wilcoxon rank-sum test",2.47368043953358,1.87644479317025e-09,"spearman",-0.377442155156575,1.33622056052956e-15,4.52387541149141e-14
"100","COAD","AC100861.1-MIR186-PSMD13","Daporinad_1248","GDSC2","Wilcoxon rank-sum test",2.10626026509274,4.40639361918858e-08,"spearman",-0.326446081549372,7.77851327881589e-12,1.07995379509548e-10
"101","COAD","AC100861.1-MIR186-PSMD3","Docetaxel_1007","GDSC2","Wilcoxon rank-sum test",1.22380050806066,6.78976097407185e-10,"spearman",-0.315430217404681,4.14264085650404e-11,4.83304243795101e-10
"102","COAD","AC100861.1-MIR186-PSMD3","Bortezomib_1191","GDSC2","Wilcoxon rank-sum test",0.665805693064968,3.03649239723169e-09,"spearman",-0.309871562388554,9.38990330897373e-11,1.00561748383057e-09
"103","COAD","AC100861.1-MIR186-PSMD3","CDK9_5038_1709","GDSC2","Wilcoxon rank-sum test",3.10325740626952,7.96401338971062e-11,"spearman",-0.344867379554465,4.06352224982494e-13,7.72013790601119e-12
"104","COAD","AC100861.1-MIR186-PSMD4","Rapamycin_1084","GDSC2","Wilcoxon rank-sum test",0.786817149692412,2.47462572644127e-07,"spearman",-0.304714433052357,1.97599505097299e-10,1.96111465113552e-09
"105","COAD","AC100861.1-MIR186-PSMD4","Daporinad_1248","GDSC2","Wilcoxon rank-sum test",2.51140299129032,4.88566284147656e-10,"spearman",-0.376585214290876,1.56630001334717e-15,5.23704537475936e-14
"106","COAD","AC100861.1-MIR186-PSMD8","Docetaxel_1007","GDSC2","Wilcoxon rank-sum test",0.858935129797842,6.36789049531517e-08,"spearman",-0.335604761899676,1.83738666623648e-12,2.96838128932822e-11
"107","COAD","AC100861.1-MIR186-PSMD8","Bortezomib_1191","GDSC2","Wilcoxon rank-sum test",0.653815877234434,3.17420334994373e-09,"spearman",-0.385518299683488,2.9210557843616e-16,1.16034256651239e-14
"108","COAD","AC100861.1-MIR186-PSMD8","CDK9_5038_1709","GDSC2","Wilcoxon rank-sum test",2.40539639191833,1.27276630291204e-12,"spearman",-0.421321026334315,2.04101841721541e-19,1.75451990605814e-17
"109","COAD","AC100861.1-MIR186-PSME1","Staurosporine_1034","GDSC2","Wilcoxon rank-sum test",2.24648026059893,2.51573963740939e-08,"spearman",-0.364101637583915,1.5035596214177e-14,3.97693661687805e-13
"110","COAD","AC100861.1-MIR186-PSME1","AZD8055_1059","GDSC2","Wilcoxon rank-sum test",2.57857238158163,2.68691410032749e-07,"spearman",-0.365757643397107,1.12010904500436e-14,3.06356240145283e-13
"111","COAD","AC100861.1-MIR186-PSME1","Rapamycin_1084","GDSC2","Wilcoxon rank-sum test",1.13041249211027,3.84835624936207e-12,"spearman",-0.433993805111747,1.25580035673659e-20,1.44134140944345e-18
"112","COAD","AC100861.1-MIR186-PSME1","Daporinad_1248","GDSC2","Wilcoxon rank-sum test",4.11492337391123,9.5459629259939e-14,"spearman",-0.464933509037293,8.31746120845574e-24,2.02027264166781e-21
"113","COAD","AC100861.1-MIR186-PSME1","Dactinomycin_1811","GDSC2","Wilcoxon rank-sum test",1.17115151005781,1.87828243096466e-08,"spearman",-0.354954094514633,7.41636400284849e-14,1.68208933393596e-12
"114","COAD","AC100861.1-MIR186-PSME3","CDK9_5038_1709","GDSC2","Wilcoxon rank-sum test",1.76452193432281,9.36647582726298e-07,"spearman",-0.304860212502595,1.93525576408889e-10,1.92479741250103e-09
"115","COAD","AC100861.1-MIR320C1-RHOA","Docetaxel_1007","GDSC2","Wilcoxon rank-sum test",0.994646208884988,7.88459293053234e-09,"spearman",-0.33328623212129,2.65968160189359e-12,4.12611132431899e-11
"116","COAD","AC100861.1-MIR320C1-RHOA","Paclitaxel_1080","GDSC2","Wilcoxon rank-sum test",1.90316806095591,5.56912915139071e-09,"spearman",-0.323743307485996,1.17994657230981e-11,1.5716820627438e-10
"117","COAD","AC100861.1-MIR320C1-RHOA","CDK9_5038_1709","GDSC2","Wilcoxon rank-sum test",1.28896935418476,1.80207709420124e-07,"spearman",-0.342783972454335,5.73064057954277e-13,1.05353004238564e-11
"118","COAD","AC100861.1-MIR320C2-RHOA","Docetaxel_1007","GDSC2","Wilcoxon rank-sum test",1.15543573594231,4.98758993939278e-10,"spearman",-0.335420409946494,1.8924395821797e-12,3.04613141453683e-11
"119","COAD","AC100861.1-MIR320C2-RHOA","Paclitaxel_1080","GDSC2","Wilcoxon rank-sum test",2.10206413057005,1.73222825314156e-09,"spearman",-0.315113762982374,4.34218668402768e-11,5.04681806329972e-10
"120","COAD","AC100861.1-MIR320C2-RHOA","CDK9_5038_1709","GDSC2","Wilcoxon rank-sum test",1.38439462047699,4.67596211499996e-08,"spearman",-0.332664331815771,2.93552566033233e-12,4.50635278476444e-11
"121","COAD","AC100861.1-MIR370-CD3D","Docetaxel_1007","GDSC2","Wilcoxon rank-sum test",0.998406106693962,9.06225140262443e-07,"spearman",-0.32139454530174,1.68915197008708e-11,2.16238366803425e-10
"122","COAD","AC100861.1-MIR370-CD3D","Paclitaxel_1080","GDSC2","Wilcoxon rank-sum test",2.19422990019154,2.3499539197029e-07,"spearman",-0.326744695301301,7.42663906217014e-12,1.03492370493444e-10
"123","COAD","AC100861.1-MIR491-B2M","Docetaxel_1007","GDSC2","Wilcoxon rank-sum test",1.03531670145307,9.88651551361082e-08,"spearman",-0.307439661088158,1.33604144111015e-10,1.38075793015955e-09
"124","COAD","AC100861.1-MIR491-B2M","Paclitaxel_1080","GDSC2","Wilcoxon rank-sum test",2.08160935769347,1.67286721352274e-07,"spearman",-0.312853069110869,6.06686552996e-11,6.79521469465601e-10
"125","COAD","AC100861.1-MIR491-HLA-C","Rapamycin_1084","GDSC2","Wilcoxon rank-sum test",0.808892896880143,2.2341312930435e-08,"spearman",-0.317512879093175,3.03536905975468e-11,3.64558426271184e-10
